name,ideology_name,state_name,city_name,ein,statewide,lat,long,NAME,STATEFP,COUNTYFP,county_fips,county_name,source_match,final_status,type,state_fips,city_clean
11th Hour Remnant Messenger,Christian Identity,Idaho,Sandpoint,NA,TRUE,48.2761306,-116.5487835,Bonner,16,017,16017,Bonner,city_geocode,matched,NA,NA,NA
14 Words Press,White Nationalist,Idaho,St. Maries,NA,TRUE,47.3143542,-116.562667,Benewah,16,009,16009,Benewah,city_geocode,matched,NA,NA,NA
88 Enterprises,General Hate,Ohio,Canton,NA,TRUE,40.7985464,-81.3749508,Stark,39,151,39151,Stark,city_geocode,matched,NA,NA,NA
Alabama White Knights of the KKK,Ku Klux Klan,Alabama,Anniston,NA,TRUE,33.6624824,-85.8283224,Calhoun,01,015,01015,Calhoun,city_geocode,matched,NA,NA,NA
Alabama White Knights of the KKK,Ku Klux Klan,Alabama,Ashville,NA,TRUE,33.8369216,-86.2549799,St. Clair,01,115,01115,St. Clair,city_geocode,matched,NA,NA,NA
Alabama White Knights of the KKK,Ku Klux Klan,Alabama,Birmingham,NA,TRUE,33.5206824,-86.8024326,Jefferson,01,073,01073,Jefferson,city_geocode,matched,NA,NA,NA
Alabama White Knights of the KKK,Ku Klux Klan,Alabama,Clanton,NA,TRUE,32.8392013,-86.6309229,Chilton,01,021,01021,Chilton,city_geocode,matched,NA,NA,NA
Alabama White Knights of the KKK,Ku Klux Klan,Alabama,Pelham,NA,TRUE,33.285669,-86.8099884,Shelby,01,117,01117,Shelby,city_geocode,matched,NA,NA,NA
Alabama White Knights of the KKK,Ku Klux Klan,Alabama,Shelby,NA,TRUE,33.110396,-86.584149,Shelby,01,117,01117,Shelby,city_geocode,matched,NA,NA,NA
Alabama White Knights of the KKK,Ku Klux Klan,Alabama,Sylacauga,NA,TRUE,33.170482,-86.2514099,Talladega,01,121,01121,Talladega,city_geocode,matched,NA,NA,NA
Alabama White Knights of the KKK,Ku Klux Klan,Alabama,Wilton,NA,TRUE,33.0787308,-86.8816562,Shelby,01,117,01117,Shelby,city_geocode,matched,NA,NA,NA
America's Invisible Empire Knights of the KKK,Christian Identity,Alabama,Hartselle,NA,TRUE,34.4434282,-86.9352842,Morgan,01,103,01103,Morgan,city_geocode,matched,NA,NA,NA
America's Promise Ministries,Christian Identity,Idaho,Sandpoint,NA,TRUE,48.2761306,-116.5487835,Bonner,16,017,16017,Bonner,city_geocode,matched,NA,NA,NA
American Friends of the British National Party,General Hate,Virginia,Falls Church,NA,TRUE,38.882334,-77.1710914,Falls Church,51,610,51610,Falls Church,city_geocode,matched,NA,NA,NA
American Front,Racist Skinhead,Pennsylvania,Philadelphia,NA,TRUE,39.9527237,-75.1635262,Philadelphia,42,101,42101,Philadelphia,city_geocode,matched,NA,NA,NA
American Immigration Control Foundation / Americans for Immigration Control,Anti-Immigrant,Virginia,Monterey,NA,TRUE,38.411985,-79.5794666,Highland,51,091,51091,Highland,city_geocode,matched,NA,NA,NA
American Knights of the Ku Klux Klan,Ku Klux Klan,Oklahoma,Watts,NA,TRUE,36.1092487,-94.5702202,Adair,40,001,40001,Adair,city_geocode,matched,NA,NA,NA
American Knights of the Ku Klux Klan,Ku Klux Klan,Indiana,Butler,NA,TRUE,41.4297694,-84.8713507,DeKalb,18,033,18033,DeKalb,city_geocode,matched,NA,NA,NA
American Knights of the Ku Klux Klan,Ku Klux Klan,Louisiana,Welsh,NA,TRUE,30.2368977,-92.8221303,Jefferson Davis,22,053,22053,Jefferson Davis,city_geocode,matched,NA,NA,NA
American Knights of the Ku Klux Klan,Ku Klux Klan,Arkansas,Cedarville,NA,TRUE,35.5698087,-94.3668792,Crawford,05,033,05033,Crawford,city_geocode,matched,NA,NA,NA
American Knights of the Ku Klux Klan,Ku Klux Klan,Virginia,Woodbridge,NA,TRUE,38.6626561,-77.2530729,Prince William,51,153,51153,Prince William,city_geocode,matched,NA,NA,NA
American Knights of the Ku Klux Klan,Ku Klux Klan,Pennsylvania,Cokeburg,NA,TRUE,40.1011832,-80.0672766,Washington,42,125,42125,Washington,city_geocode,matched,NA,NA,NA
American Knights of the Ku Klux Klan,Ku Klux Klan,Oklahoma,Collinsville,NA,TRUE,36.3661205,-95.8398108,Tulsa,40,143,40143,Tulsa,city_geocode,matched,NA,NA,NA
American Knights of the Ku Klux Klan,Ku Klux Klan,Texas,Conroe,NA,TRUE,30.3118769,-95.4560512,Montgomery,48,339,48339,Montgomery,city_geocode,matched,NA,NA,NA
American Knights of the Ku Klux Klan,Ku Klux Klan,Indiana,Goshen,NA,TRUE,41.5850394,-85.8344491,Elkhart,18,039,18039,Elkhart,city_geocode,matched,NA,NA,NA
American Knights of the Ku Klux Klan,Ku Klux Klan,Texas,Mauriceville,NA,TRUE,30.2074225,-93.8747976,Orange,48,361,48361,Orange,city_geocode,matched,NA,NA,NA
American Knights of the Ku Klux Klan,Ku Klux Klan,Tennessee,Memphis,NA,TRUE,35.1460249,-90.0517638,Shelby,47,157,47157,Shelby,city_geocode,matched,NA,NA,NA
American Knights of the Ku Klux Klan,Ku Klux Klan,New York,Newburgh,NA,TRUE,41.5000767,-74.0098299,Orange,36,071,36071,Orange,city_geocode,matched,NA,NA,NA
American Knights of the Ku Klux Klan,Ku Klux Klan,Missouri,Nixa,NA,TRUE,37.0433856,-93.2986635,Christian,29,043,29043,Christian,city_geocode,matched,NA,NA,NA
American Knights of the Ku Klux Klan,Ku Klux Klan,Florida,Orlando,NA,TRUE,28.5421218,-81.379045,Orange,12,095,12095,Orange,city_geocode,matched,NA,NA,NA
American Knights of the Ku Klux Klan,Ku Klux Klan,Texas,Riesel,NA,TRUE,31.4748811,-96.9243288,McLennan,48,309,48309,McLennan,city_geocode,matched,NA,NA,NA
